"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Habitat",1,2.16198798933025,2.16198798933025,0.571739298411319,0.455883559397258,"Arachidonate","Habitat",6.38236983156162
"Arachidonate.Residuals",28,105.879836963204,3.78142274868585,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Habitat",1,7.81998995732438e-05,7.81998995732438e-05,0.446326754028193,0.509755672678185,"Catalase","Habitat",7.13657941749459
"Catalase.Residuals",27,0.00473060884076919,0.000175207734843303,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Habitat",1,2.45115651659818e-05,2.45115651659818e-05,0.00531823374980579,0.942383292026871,"Cytochrome","Habitat",13.1933660883762
"Cytochrome.Residuals",28,0.129051082922512,0.00460896724723258,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Habitat",1,12.2225178485824,12.2225178485824,0.220124647325834,0.642577818605855,"Glycogen","Habitat",8.99608946048197
"Glycogen.Residuals",28,1554.71231376344,55.5254397772656,NA,NA,"Glycogen","Residuals",NA
"HSP70.Habitat",1,0.00752074477137418,0.00752074477137418,0.0197888311196602,0.891605983363522,"HSP70","Habitat",12.4824837670893
"HSP70.Residuals",8,3.04039979962327,0.380049974952908,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Habitat",1,733.440310176725,733.440310176725,0.0365189000603554,0.849826837535157,"HSP90-alpha","Habitat",11.8975757254922
"HSP90-alpha.Residuals",28,562347.952731533,20083.8554546976,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Habitat",1,0.00253960697384472,0.00253960697384472,0.00380783993928975,0.951515306696208,"PDI","Habitat",13.3212142937469
"PDI.Residuals",17,11.3380077008734,0.666941629463139,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Habitat",1,29.8310141041495,29.8310141041495,0.156560130234708,0.702685906995599,"Peroxiredoxin-1","Habitat",9.83760269793838
"Peroxiredoxin-1.Residuals",8,1524.32239597288,190.54029949661,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Habitat",1,0.0021228350890966,0.0021228350890966,0.0249115858160404,0.875720330742914,"Puromycin-sensitive","Habitat",12.2600846304008
"Puromycin-sensitive.Residuals",28,2.3860135975941,0.0852147713426466,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Habitat",1,0.0397947335293796,0.0397947335293796,0.000153008329676416,0.990433608592372,"Ras-related","Habitat",13.8660705202932
"Ras-related.Residuals",8,2080.65710480144,260.08213810018,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Habitat",1,0.160579410934106,0.160579410934106,0.181061162181861,0.675506918876742,"Sodium/potassium-transporting","Habitat",9.45709686427438
"Sodium/potassium-transporting.Residuals",18,15.9638288078076,0.886879378211532,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Habitat",1,4.2290941782534e-07,4.2290941782534e-07,0.000532161154219766,0.981945871538708,"Superoxide","Habitat",13.7472422015419
"Superoxide.Residuals",13,0.0103311231722468,0.000794701782480522,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Habitat",1,0.683961191806448,0.683961191806448,0.0431241540264157,0.837823073554254,"Trifunctional","Habitat",11.7295230297596
"Trifunctional.Residuals",18,285.485054268538,15.8602807926965,NA,NA,"Trifunctional","Residuals",NA
