"","Sample.Shorthand","Protein","Sample","Pep1","Pep2","Pep3","metric","Bay","Habitat","Region","Mean","Median","sd","Var","Min","Max"
"1","CI-B","Arachidonate","G012",57.4984200010086,64.8145397971772,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"2","CI-B","Arachidonate","G012",57.4984200010086,64.8145397971772,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"3","CI-B","Arachidonate","G012",57.4984200010086,64.8145397971772,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"4","CI-B","Arachidonate","G012",57.4984200010086,64.8145397971772,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"5","CI-B","Arachidonate","G017",121.776304824455,127.416899607733,174.684483026786,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"6","CI-B","Arachidonate","G017",121.776304824455,127.416899607733,174.684483026786,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"7","CI-B","Arachidonate","G017",121.776304824455,127.416899607733,174.684483026786,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"8","CI-B","Arachidonate","G017",121.776304824455,127.416899607733,174.684483026786,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"9","CI-B","Glycogen","G014",984.568459483424,1128.49944675336,1154.17348614345,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"10","CI-B","Glycogen","G014",984.568459483424,1128.49944675336,1154.17348614345,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"11","CI-B","Glycogen","G014",984.568459483424,1128.49944675336,1154.17348614345,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
