"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Bay",1,20.5632230961018,20.5632230961018,4.81035033789643,0.032048743820314,"Arachidonate","Bay",0.448682413484397
"Arachidonate.Habitat",1,8.30317857012212,8.30317857012212,1.94236076969728,0.168388179430296,"Arachidonate","Habitat",2.35743451202414
"Arachidonate.Bay:Habitat",1,0.409048198857653,0.409048198857653,0.0956885568179166,0.758103409867074,"Arachidonate","Bay:Habitat",10.613447738139
"Arachidonate.Residuals",62,265.036794080125,4.27478700129234,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Bay",1,8.43927937405679e-05,8.43927937405679e-05,0.43447349612741,0.512323909607811,"Catalase","Bay",7.17253473450935
"Catalase.Habitat",1,0.000279270278289613,0.000279270278289613,1.43774757055633,0.235218301909586,"Catalase","Habitat",3.2930562267342
"Catalase.Bay:Habitat",1,1.0574492282866e-05,1.0574492282866e-05,0.054439916351538,0.816304305801092,"Catalase","Bay:Habitat",11.4282602812153
"Catalase.Residuals",60,0.0116544914006657,0.000194241523344429,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Bay",1,0.00758993522252416,0.00758993522252416,1.28741145515062,0.260893295627351,"Cytochrome","Bay",3.65250613878292
"Cytochrome.Habitat",1,0.00521873566816651,0.00521873566816651,0.88520651146826,0.35043104736263,"Cytochrome","Habitat",4.90603466307682
"Cytochrome.Bay:Habitat",1,0.00527803896375663,0.00527803896375663,0.895265588368459,0.347727497591814,"Cytochrome","Bay:Habitat",4.8681849662854
"Cytochrome.Residuals",62,0.365521047613674,0.00589550076796248,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Bay",1,230.578621798148,230.578621798148,2.90435252566517,0.0933479779381892,"Glycogen","Bay",1.30687169113465
"Glycogen.Habitat",1,69.9252850458694,69.9252850458694,0.880774100595559,0.351631553824329,"Glycogen","Habitat",4.9228417535406
"Glycogen.Bay:Habitat",1,8.40910378255966,8.40910378255966,0.1059204952263,0.745933077418984,"Glycogen","Bay:Habitat",10.4430630838658
"Glycogen.Residuals",62,4922.22429100995,79.3907143711282,NA,NA,"Glycogen","Residuals",NA
