"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Bay",3,59.8253645233002,19.9417881744334,3.64454522076373,0.0145047742371121,"Arachidonate","Bay",0.20306683931957
"Arachidonate.Habitat",1,2.20024542125941,2.20024542125941,0.402115089400005,0.527113206232701,"Arachidonate","Habitat",7.37958488725782
"Arachidonate.Residuals",130,711.318506327406,5.47168081790312,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Bay",3,0.000192858652681358,6.42862175604526e-05,0.34048761258669,0.796082478759278,"Catalase","Bay",11.1451547026299
"Catalase.Habitat",1,1.39982969299536e-08,1.39982969299536e-08,7.41410349345486e-05,0.993143611869683,"Catalase","Habitat",13.9040105661756
"Catalase.Residuals",125,0.0236007916235444,0.000188806332988355,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Bay",3,0.0154141163495978,0.00513803878319927,0.756615074990098,0.520445793886592,"Cytochrome","Bay",7.28624111441229
"Cytochrome.Habitat",1,0.00853838364501196,0.00853838364501196,1.25734157612613,0.264221908572603,"Cytochrome","Habitat",3.69910672001645
"Cytochrome.Residuals",130,0.882806943576489,0.00679082264289607,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Bay",3,459.021093195502,153.007031065167,1.74195466407227,0.161610966552301,"Glycogen","Bay",2.26255353173222
"Glycogen.Habitat",1,113.733856768561,113.733856768561,1.2948373736926,0.257251218849583,"Glycogen","Habitat",3.60151706389416
"Glycogen.Residuals",130,11418.7323291018,87.8364025315525,NA,NA,"Glycogen","Residuals",NA
"HSP70.Bay",3,11.7169647900229,3.90565493000763,5.80934312251035,0.00215198366301287,"HSP70","Bay",0.0301277712821802
"HSP70.Habitat",1,0.00474347655874507,0.00474347655874507,0.0070555344538031,0.933477620127291,"HSP70","Habitat",13.0686866817821
"HSP70.Residuals",40,26.8922309985361,0.672305774963402,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Bay",3,477740.222041902,159246.740680634,7.74500371917397,8.45691296800789e-05,"HSP90-alpha","Bay",0.00118396781552111
"HSP90-alpha.Habitat",1,567.486599640569,567.486599640569,0.0275998479216102,0.868311158067727,"HSP90-alpha","Habitat",12.1563562129482
"HSP90-alpha.Residuals",130,2672958.85697656,20561.2219767427,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Bay",3,4.55007946680797,1.51669315560266,2.13870221551342,0.10172421776939,"PDI","Bay",1.42413904877147
"PDI.Habitat",1,0.00554107634466003,0.00554107634466003,0.00781351996669658,0.929781617957814,"PDI","Habitat",13.0169426514094
"PDI.Residuals",81,57.4423801091557,0.709165186532787,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Bay",3,883.914583447919,294.63819448264,1.09529407154947,0.36228204853657,"Peroxiredoxin-1","Bay",5.07194867951197
"Peroxiredoxin-1.Habitat",1,38.2727886846702,38.2727886846702,0.142276050196387,0.708022594801934,"Peroxiredoxin-1","Habitat",9.91231632722707
"Peroxiredoxin-1.Residuals",40,10760.1493383718,269.003733459295,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Bay",3,1.19490970601166,0.398303235337219,3.86689927116773,0.0109705480218969,"Puromycin-sensitive","Bay",0.153587672306557
"Puromycin-sensitive.Habitat",1,0.0894901540566066,0.0894901540566066,0.868808939513637,0.353053852826335,"Puromycin-sensitive","Habitat",4.9427539395687
"Puromycin-sensitive.Residuals",127,13.0814141617274,0.103003261115964,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Bay",3,885.667067200578,295.222355733526,0.763675307567316,0.521147924580179,"Ras-related","Bay",7.2960709441225
"Ras-related.Habitat",1,152.005185472391,152.005185472391,0.393203985108206,0.534183092194311,"Ras-related","Habitat",7.47856329072036
"Ras-related.Residuals",40,15463.2395631047,386.580989077617,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Bay",3,3.16975986047211,1.05658662015737,0.681292435264014,0.565896582923877,"Sodium/potassium-transporting","Bay",7.92255216093427
"Sodium/potassium-transporting.Habitat",1,0.848420975503149,0.848420975503149,0.547066167129316,0.461556824866218,"Sodium/potassium-transporting","Habitat",6.46179554812705
"Sodium/potassium-transporting.Residuals",85,131.822779858951,1.55085623363471,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Bay",3,0.00200859194838773,0.000669530649462576,1.00332585585879,0.397306407853451,"Superoxide","Bay",5.56228970994832
"Superoxide.Habitat",1,5.37908066982539e-05,5.37908066982539e-05,0.0806082697053243,0.777405812169609,"Superoxide","Habitat",10.8836813703745
"Superoxide.Residuals",63,0.0420406099073748,0.000667311268371028,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Bay",3,344.985524153704,114.995174717901,5.19030729966481,0.00243038976218772,"Trifunctional","Bay",0.0340254566706281
"Trifunctional.Habitat",1,22.2022746868502,22.2022746868502,1.00209968513038,0.319644274590084,"Trifunctional","Habitat",4.47501984426117
"Trifunctional.Residuals",85,1883.23913916482,22.1557545784096,NA,NA,"Trifunctional","Residuals",NA
