Region,Bay,Habitat,Both,Exclosure,PRVial,FShell,IShell1,IShell2,IShell3,IShell4,IShell5, AvgIShell 
South,CI,B,CI-B,CIB-4,G011,14.21,16,14,16,15,17,15.6
South,CI,B,CI-B,CIB-4,G012,15.58,16,14,16,15,17,15.6
South,CI,B,CI-B,CIB-4,G013,15.31,16,14,16,15,17,15.6
South,CI,B,CI-B,CIB-4,G014,14.66,16,14,16,15,17,15.6
South,CI,B,CI-B,CIB-5,G015,16.48,17,16,18,16,15,16.4
South,CI,B,CI-B,CIB-5,G016,17.72,17,16,18,16,15,16.4
South,CI,B,CI-B,CIB-5,G017,15.76,17,16,18,16,15,16.4
South,CI,B,CI-B,CIB-5,G018,15.75,17,16,18,16,15,16.4
South,CI,B,CI-B,CIB-5,G019,14.88,17,16,18,16,15,16.4
South,CI,E,CI-E,CIE-1,G005,13.11,18,15,13,15,16,15.4
South,CI,E,CI-E,CIE-2,G001,17.45,18,16,15,15,16,16
South,CI,E,CI-E,CIE-2,G002,17.66,18,16,15,15,16,16
South,CI,E,CI-E,CIE-2,G003,15.64,18,16,15,15,16,16
South,CI,E,CI-E,CIE-2,G004,15.54,18,16,15,15,16,16
South,CI,E,CI-E,CIE-3,G006,16.17,15,15,14,15,15,14.8
South,CI,E,CI-E,CIE-3,G007,13.83,15,15,14,15,15,14.8
South,CI,E,CI-E,CIE-3,G008,14.46,15,15,14,15,15,14.8
South,CI,E,CI-E,CIE-3,G009,15.76,15,15,14,15,15,14.8
South,CI,E,CI-E,CIE-3,G010,15.57,15,15,14,15,15,14.8
North,FB,B,FB-B,FBB-4,G043,17.01,14,16,14,13,14,14.2
North,FB,B,FB-B,FBB-4,G042,18.2,14,16,14,13,14,14.2
North,FB,B,FB-B,FBB-4,G041,18.48,14,16,14,13,14,14.2
North,FB,B,FB-B,FBB-5,G060,19.5,16,15,15,16,16,15.6
North,FB,B,FB-B,FBB-5,G059,20.71,16,15,15,16,16,15.6
North,FB,B,FB-B,FBB-5,G058,15.76,16,15,15,16,16,15.6
North,FB,B,FB-B,FBB-5,G057,18.75,16,15,15,16,16,15.6
North,FB,B,FB-B,FBB-6,G040,15.23,16,17,14,15,15,15.4
North,FB,B,FB-B,FBB-6,G039,20.7,16,17,14,15,15,15.4
North,FB,B,FB-B,FBB-6,G038,21.15,16,17,14,15,15,15.4
North,FB,B,FB-B,FBB-6,G037,18.21,16,17,14,15,15,15.4
North,FB,B,FB-B,FBB-6,G036,20.53,16,17,14,15,15,15.4
North,FB,E,FB-E,FBE-1,G049,15.34,16,17,13,13,14,14.6
North,FB,E,FB-E,FBE-1,G048,15.97,16,17,13,13,14,14.6
North,FB,E,FB-E,FBE-1,G047,15.52,16,17,13,13,14,14.6
North,FB,E,FB-E,FBE-1,G045,17.85,16,17,13,13,14,14.6
North,FB,E,FB-E,FBE-1,G044,18.7,16,17,13,13,14,14.6
North,FB,E,FB-E,FBE-2,G054,16.04,15,14,15,16,15,15
North,FB,E,FB-E,FBE-2,G053,18.12,15,14,15,16,15,15
North,FB,E,FB-E,FBE-2,G052,17.35,15,14,15,16,15,15
North,FB,E,FB-E,FBE-2,G051,18.06,15,14,15,16,15,15
North,FB,E,FB-E,FBE-2,G050,18.03,15,14,15,16,15,15
North,FB,E,FB-E,FBE-3,G056,17.89,14,16,15,14,16,15
North,FB,E,FB-E,FBE-3,G046,17.12,14,16,15,14,16,15
North,FB,E,FB-E,FBE-3,G055,18.27,14,16,15,14,16,15
North,PG,B,PG-B,PGB-4,G061,14.82,16,14,16,14,16,15.2
North,PG,B,PG-B,PGB-4,G062,18.42,16,14,16,14,16,15.2
North,PG,B,PG-B,PGB-4,G063,19.87,16,14,16,14,16,15.2
North,PG,B,PG-B,PGB-4,G064,19.01,16,14,16,14,16,15.2
North,PG,B,PG-B,PGB-4,G065,18.41,16,14,16,14,16,15.2
North,PG,B,PG-B,PGB-5,G078,19.22,17,14,12,16,15,14.8
North,PG,B,PG-B,PGB-5,G079,19.16,17,14,12,16,15,14.8
North,PG,B,PG-B,PGB-5,G080,17.33,17,14,12,16,15,14.8
North,PG,B,PG-B,PGB-5,G081,17.82,17,14,12,16,15,14.8
North,PG,B,PG-B,PGB-6,G066,13.86,16,13,14,15,15,14.6
North,PG,B,PG-B,PGB-6,G067,16.39,16,13,14,15,15,14.6
North,PG,B,PG-B,PGB-6,G068,17.11,16,13,14,15,15,14.6
North,PG,B,PG-B,PGB-6,G069,20.64,16,13,14,15,15,14.6
North,PG,B,PG-B,PGB-6,G070,20.11,16,13,14,15,15,14.6
North,PG,E,PG-E,PGE-1,G075,19.37,12,13,16,14,14,13.8
North,PG,E,PG-E,PGE-1,G076,18.78,12,13,16,14,14,13.8
North,PG,E,PG-E,PGE-1,G077,17.28,12,13,16,14,14,13.8
North,PG,E,PG-E,PGE-2,G071,16.31,15,13,13,13,18,14.4
North,PG,E,PG-E,PGE-2,G072,14.74,15,13,13,13,18,14.4
North,PG,E,PG-E,PGE-2,G073,19.66,15,13,13,13,18,14.4
North,PG,E,PG-E,PGE-2,G074,16.15,15,13,13,13,18,14.4
North,PG,E,PG-E,PGE-3,G028,18.8,13,15,16,14,13,14.2
North,PG,E,PG-E,PGE-3,G029,16.76,13,15,16,14,13,14.2
North,PG,E,PG-E,PGE-3,G030,16.16,13,15,16,14,13,14.2
North,PG,E,PG-E,PGE-3,G031,18.17,13,15,16,14,13,14.2
North,PG,E,PG-E,PGE-3,G032,15.39,13,15,16,14,13,14.2
South,WB,B,WB-B,WBB-4,G104,16.03,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-4,G105,15.4,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-4,G106,13.55,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-4,G107,13.65,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-4,G108,15.46,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-5,G119,16.57,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-5,G120,17.05,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-5,G121,15.82,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-5,G122,14.93,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-5,G123,13.31,16,15,12,15,14,14.4
South,WB,B,WB-B,WBB-6,G114,13.91,16,16,15,14,13,14.8
South,WB,B,WB-B,WBB-6,G115,16.42,16,16,15,14,13,14.8
South,WB,B,WB-B,WBB-6,G116,15.96,16,16,15,14,13,14.8
South,WB,B,WB-B,WBB-6,G117,15.22,16,16,15,14,13,14.8
South,WB,B,WB-B,WBB-6,G118,14.46,16,16,15,14,13,14.8
South,WB,E,WB-E,WBE-1,G129,16.57,13,12,15,14,13,13.4
South,WB,E,WB-E,WBE-1,G130,17.12,13,12,15,14,13,13.4
South,WB,E,WB-E,WBE-1,G131,14.54,13,12,15,14,13,13.4
South,WB,E,WB-E,WBE-1,G132,15.64,13,12,15,14,13,13.4
South,WB,E,WB-E,WBE-2,G124,18.26,13,14,14,14,14,13.8
South,WB,E,WB-E,WBE-2,G125,14.35,13,14,14,14,14,13.8
South,WB,E,WB-E,WBE-2,G126,17.4,13,14,14,14,14,13.8
South,WB,E,WB-E,WBE-2,G127,17.4,13,14,14,14,14,13.8
South,WB,E,WB-E,WBE-2,G128,15.65,13,14,14,14,14,13.8
South,WB,E,WB-E,WBE-3,G109,12.24,13,16,18,13,16,15.2
South,WB,E,WB-E,WBE-3,G110,13.73,13,16,18,13,16,15.2
South,WB,E,WB-E,WBE-3,G111,14.4,13,16,18,13,16,15.2
South,WB,E,WB-E,WBE-3,G112,14.38,13,16,18,13,16,15.2
South,WB,E,WB-E,WBE-3,G113,15.49,13,16,18,13,16,15.2
