Round,Region,Bay,Patch,Both,Exclosure,Live,Survival
1,South,CI,B,CI-B,4,4,0.8
1,South,CI,B,CI-B,5,5,1
1,South,CI,B,CI-B,6,0,0
1,South,CI,E,CI-E,1,1,0.2
1,South,CI,E,CI-E,2,4,0.8
1,South,CI,E,CI-E,3,5,1
1,North,FB,B,FB-B,4,3,0.6
1,North,FB,B,FB-B,5,4,0.8
1,North,FB,B,FB-B,6,5,1
1,North,FB,E,FB-E,1,5,1
1,North,FB,E,FB-E,2,5,1
1,North,FB,E,FB-E,3,3,0.6
1,North,PG,B,PG-B,4,5,1
1,North,PG,B,PG-B,5,4,0.8
1,North,PG,B,PG-B,6,5,1
1,North,PG,E,PG-E,1,3,0.6
1,North,PG,E,PG-E,2,4,0.8
1,North,PG,E,PG-E,3,5,1
1,South,WB,B,WB-B,4,5,1
1,South,WB,B,WB-B,5,5,1
1,South,WB,B,WB-B,6,5,1
1,South,WB,E,WB-E,1,4,0.8
1,South,WB,E,WB-E,2,5,1
1,South,WB,E,WB-E,3,5,1
