"variable","metric","Bay","Habitat","Region","Mean","Median","sd","Var","Min","Max"
"FB-B","DO","FB","B","North",10.8637393842887,9.145,5.6931346844884,32.4117825357248,0.37,25.47
"FB-B","pH","FB","B","North",7.53740217929668,7.55,0.231598813936942,0.0536380106169983,6.96,8.08
"FB-B","Salinity","FB","B","North",29.0791884057971,29.1,0.344548919751834,0.118713958102156,28.1,30
"FB-B","Temperature","FB","B","North",15.0874281609195,14.8,1.62194752297755,2.630713767293,11.8,21
"PG-B","DO","PG","B","North",11.9306696304529,10.62,3.8931504782789,15.1566206465232,3.24,22.8
"PG-B","pH","PG","B","North",7.31751672464544,7.31,0.249861500824774,0.0624307695944084,6.71,8.15
"PG-B","Temperature","PG","B","North",15.2001488095238,14.7,2.44898532599621,5.99752912694475,12.9,36
"FB-E","DO","FB","E","North",8.29416464891041,7.39,3.86787316335171,14.9604428077764,2.96,22.07
"FB-E","pH","FB","E","North",7.90461150353179,7.92,0.191610109187462,0.0367144339428309,7.4,8.33
"FB-E","Salinity","FB","E","North",30.2228912394901,30.2,0.375088334463831,0.140691258650851,29,31
"FB-E","Temperature","FB","E","North",15.1180795019157,14.8,1.60127232328503,2.56407305331865,12.1,20.9
"PG-E","DO","PG","E","North",10.7817348203222,9.76,3.86645255652573,14.9494553718643,1.69,22.04
"PG-E","Salinity","PG","E","North",23.4353422416144,23.8,1.33053644652795,1.77032723553922,20.3,25.7
"PG-E","Temperature","PG","E","North",15.253943452381,14.9,2.14645359517644,4.60726303624588,13.3,36
"CI-B","DO","CI","B","South",8.27100796416127,8.23,1.93254335738337,3.73472382816658,2.95,14.3
"CI-B","pH","CI","B","South",7.6290712545676,7.58,0.20002137208869,0.0400085492922422,7.29,8.12
"CI-B","Salinity","CI","B","South",24.6570705793069,25,1.23314597976723,1.52064900741609,19.6,26.5
"CI-B","Temperature","CI","B","South",16.4295498084291,16.3,1.62650454006003,2.64551701883589,13.7,27.4
"WB-B","DO","WB","B","South",8.76279679144385,8.68,1.34849714230644,1.81844454280864,3.95,13.05
"WB-B","pH","WB","B","South",7.55017123287671,7.59,0.181064114039613,0.0327842133929499,7.11,7.92
"WB-B","Salinity","WB","B","South",24.4099426386233,24.9,1.0992406803479,1.20833007333172,21.4,26
"WB-B","Temperature","WB","B","South",18.1951605902778,18.1,1.21557275472252,1.4776171220237,13.1,24.4
"CI-E","DO","CI","E","South",10.4099019114688,10.265,2.58781313478483,6.6967768205649,2.18,17.74
"CI-E","pH","CI","E","South",7.86719766260163,7.88,0.163428164603414,0.0267087649856406,7.48,8.34
"CI-E","Temperature","CI","E","South",16.5665948275862,16.4,1.68298209656338,2.83242873735288,13.8,27.3
"WB-E","DO","WB","E","South",8.40086379716981,8.31,1.50150691721156,2.25452302243418,3.41,12.4
"WB-E","pH","WB","E","South",7.80650662665666,7.81,0.0586194721475367,0.00343624251485583,7.64,7.99
"WB-E","Salinity","WB","E","South",27.3162912519644,27.35,0.696863492967012,0.485618727830185,25.2,29.2
"WB-E","Temperature","WB","E","South",18.2415581597222,18.1,1.18626569978522,1.40722631048691,13.5,28.1
