"","Protein","cv"
"1","Arachidonate",0.623832853641269
"2","Catalase",0.602260256510443
"3","Cytochrome",0.581507871094054
"4","Glycogen",0.510936114959853
"5","HSP70",0.510178043496761
"6","HSP90-alpha",0.575631881593096
"7","PDI",0.556861063132863
"8","Peroxiredoxin-1",0.47884387396283
"9","Puromycin-sensitive",0.555340905878134
"10","Ras-related",0.549537312741843
"11","Sodium/potassium-transporting",0.581308781617754
"12","Superoxide",0.619130485295854
"13","Trifunctional",0.620175418355226
