"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Region",1,7.42098671887342,7.42098671887342,1.28862962290493,0.258342259928592,"Arachidonate","Region",3.61679163900029
"Arachidonate.Residuals",133,765.923129553092,5.75882052295558,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Region",1,8.5912257548803e-05,8.5912257548803e-05,0.463846971166795,0.497061812192994,"Catalase","Region",6.95886537070191
"Catalase.Residuals",128,0.0237077520169738,0.000185216812632608,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Region",1,0.00647617718845222,0.00647617718845222,0.956733950554241,0.329786945726755,"Cytochrome","Region",4.61701724017457
"Cytochrome.Residuals",133,0.900283266382646,0.006769047115659,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Region",1,94.285829879873,94.285829879873,1.05403068339917,0.306444196332025,"Glycogen","Region",4.29021874864836
"Glycogen.Residuals",133,11897.201449186,89.4526424750828,NA,NA,"Glycogen","Residuals",NA
"HSP70.Region",1,9.54234088041904,9.54234088041904,14.1141416590972,0.000512979497365253,"HSP70","Region",0.00718171296311355
"HSP70.Residuals",43,29.0715983846987,0.676083683365085,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Region",1,421442.777817921,421442.777817921,20.5331529823589,1.29106679753979e-05,"HSP90-alpha","Region",0.00018074935165557
"HSP90-alpha.Residuals",133,2729823.78780018,20524.9908857156,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Region",1,3.84204410646997,3.84204410646997,5.54941787758406,0.020816608782403,"PDI","Region",0.291432522953641
"PDI.Residuals",84,58.1559565458384,0.692332816021886,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Region",1,428.652153790768,428.652153790768,1.6378673598068,0.207480321599076,"Peroxiredoxin-1","Region",2.90472450238707
"Peroxiredoxin-1.Residuals",43,11253.6845567136,261.713594342177,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Region",1,0.941154147284494,0.941154147284494,9.1138278578875,0.00305399791390399,"Puromycin-sensitive","Region",0.0427559707946558
"Puromycin-sensitive.Residuals",130,13.4246598745111,0.103266614419317,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Region",1,568.058698039622,568.058698039622,1.5330916462482,0.222366651574368,"Ras-related","Region",3.11313312204115
"Ras-related.Residuals",43,15932.853117738,370.531467854372,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Region",1,0.648125560302287,0.648125560302287,0.421879230876447,0.517692638340628,"Sodium/potassium-transporting","Region",7.24769693676879
"Sodium/potassium-transporting.Residuals",88,135.192835134624,1.5362822174389,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Region",1,0.00118407594977331,0.00118407594977331,1.82085240427181,0.181822680111428,"Superoxide","Region",2.54551752155999
"Superoxide.Residuals",66,0.0429189167126874,0.0006502866168589,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Region",1,251.856745988324,251.856745988324,11.0896248405488,0.00126977837797095,"Trifunctional","Region",0.0177768972915933
"Trifunctional.Residuals",88,1998.57019201705,22.7110249092846,NA,NA,"Trifunctional","Residuals",NA
