"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Bay",3,9790.81371948907,3263.60457316302,3.16899086057717,0.0269694583288937,"Arachidonate","Bay",0.350602958275618
"Arachidonate.Bay:Habitat",4,3767.01874205098,941.754685512745,0.914452693146946,0.458006915380575,"Arachidonate","Bay:Habitat",5.95408989994748
"Arachidonate.Residuals",118,121523.019969549,1029.85610143685,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Bay",3,0.000755935128018223,0.000251978376006074,0.235865312449207,0.871197676940679,"Catalase","Bay",11.3255698002288
"Catalase.Bay:Habitat",4,0.00135742094369332,0.00033935523592333,0.317654752844351,0.865643308565686,"Catalase","Bay:Habitat",11.2533630113539
"Catalase.Residuals",110,0.117514614899709,0.00106831468090645,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Bay",3,580.129416361298,193.376472120433,1.16134423093226,0.327562412790788,"Cytochrome","Bay",4.25831136628024
"Cytochrome.Bay:Habitat",4,395.414623929705,98.8536559824263,0.593676789233467,0.667885859809128,"Cytochrome","Bay:Habitat",8.68251617751866
"Cytochrome.Residuals",118,19648.286100232,166.510899154509,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Bay",3,893785.237539683,297928.412513228,2.36249382664548,0.0746725315315184,"Glycogen","Bay",0.97074290990974
"Glycogen.Bay:Habitat",4,699145.569174859,174786.392293715,1.38601004614558,0.242859367678309,"Glycogen","Bay:Habitat",3.15717177981802
"Glycogen.Residuals",120,15132911.2899105,126107.594082588,NA,NA,"Glycogen","Residuals",NA
"HSP70.Bay",3,1144534.70951005,381511.569836684,3.81345278489805,0.0180002371856171,"HSP70","Bay",0.234003083413022
"HSP70.Bay:Habitat",4,214425.470624839,53606.3676562097,0.535830019819193,0.710263827567756,"HSP70","Bay:Habitat",9.23342975838083
"HSP70.Residuals",36,3601569.83417005,100043.606504724,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Bay",3,3992989.81763209,1330996.60587736,9.21668896787947,1.55604493464179e-05,"HSP90-alpha","Bay",0.000202285841503433
"HSP90-alpha.Bay:Habitat",4,600452.688039708,150113.172009927,1.0394815511083,0.389833465811308,"HSP90-alpha","Bay:Habitat",5.067835055547
"HSP90-alpha.Residuals",120,17329389.4653397,144411.578877831,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Bay",3,4701.61084369299,1567.20361456433,3.18947237295288,0.0287835524257557,"PDI","Bay",0.374186181534824
"PDI.Bay:Habitat",4,768.720868434007,192.180217108502,0.391112863318688,0.814340351362665,"PDI","Bay:Habitat",10.5864245677146
"PDI.Residuals",71,34887.1047066164,491.367671924175,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Bay",3,973523.321325117,324507.773775039,0.571721335044433,0.637603058835546,"Peroxiredoxin-1","Bay",8.2888397648621
"Peroxiredoxin-1.Bay:Habitat",4,637129.70342483,159282.425856207,0.280625515069345,0.888406897920028,"Peroxiredoxin-1","Bay:Habitat",11.5492896729604
"Peroxiredoxin-1.Residuals",33,18730727.5033632,567597.803132218,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Bay",3,431.552212666944,143.850737555648,5.86059288274921,0.000913586010928319,"Puromycin-sensitive","Bay",0.0118766181420681
"Puromycin-sensitive.Bay:Habitat",4,225.506704511706,56.3766761279265,2.29683039852729,0.0630943631796784,"Puromycin-sensitive","Bay:Habitat",0.82022672133582
"Puromycin-sensitive.Residuals",118,2896.36003919176,24.5454240609472,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Bay",3,197717.740437162,65905.9134790541,1.52003590001532,0.225883365917741,"Ras-related","Bay",2.93648375693063
"Ras-related.Bay:Habitat",4,111357.377118663,27839.3442796658,0.642078995709952,0.635986338754453,"Ras-related","Bay:Habitat",8.26782240380789
"Ras-related.Residuals",36,1560892.66393119,43358.1295536441,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Bay",3,806231.283978728,268743.761326243,0.819196961637397,0.487090496490884,"Sodium/potassium-transporting","Bay",6.33217645438149
"Sodium/potassium-transporting.Bay:Habitat",4,1629857.47995062,407464.369987654,1.24205143301605,0.299988765069167,"Sodium/potassium-transporting","Bay:Habitat",3.89985394589918
"Sodium/potassium-transporting.Residuals",79,25916547.7156281,328057.566020609,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Bay",3,0.703737612538957,0.234579204179652,1.16720748984573,0.331165275555623,"Superoxide","Bay",4.30514858222309
"Superoxide.Bay:Habitat",4,0.375309873515921,0.0938274683789803,0.466862031645979,0.759737408086489,"Superoxide","Bay:Habitat",9.87658630512435
"Superoxide.Residuals",52,10.4506856950979,0.200974724905729,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Bay",3,10390.7765098648,3463.59216995493,4.97690543711249,0.00335799771046717,"Trifunctional","Bay",0.0436539702360731
"Trifunctional.Bay:Habitat",4,1928.03719082162,482.009297705404,0.69260888025394,0.599411332073865,"Trifunctional","Bay:Habitat",7.79234731696025
"Trifunctional.Residuals",74,51499.0336495863,695.932887156571,NA,NA,"Trifunctional","Residuals",NA
