"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"Arachidonate.Habitat",1,6.55023877964949,6.55023877964949,1.39929867058513,0.245046984774062,"Arachidonate","Habitat",3.43065778683686
"Arachidonate.Residuals",34,159.156957116921,4.6810869740271,NA,NA,"Arachidonate","Residuals",NA
"Catalase.Habitat",1,0.000211644870999235,0.000211644870999235,1.00872316688733,0.322516986088978,"Catalase","Habitat",4.5152378052457
"Catalase.Residuals",33,0.00692388255989654,0.000209814623027168,NA,NA,"Catalase","Residuals",NA
"Cytochrome.Habitat",1,0.0104722630667571,0.0104722630667571,1.50571741631021,0.228222934392353,"Cytochrome","Habitat",3.19512108149294
"Cytochrome.Residuals",34,0.236469964691162,0.00695499896150476,NA,NA,"Cytochrome","Residuals",NA
"Glycogen.Habitat",1,66.111870979846,66.111870979846,0.667496842922206,0.419613887919971,"Glycogen","Habitat",5.8745944308796
"Glycogen.Residuals",34,3367.51197724652,99.0444699190152,NA,NA,"Glycogen","Residuals",NA
"HSP70.Habitat",1,0.577603312798573,0.577603312798573,0.740305328852548,0.409717452099025,"HSP70","Habitat",5.73604432938635
"HSP70.Residuals",10,7.80223092131244,0.780223092131245,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Habitat",1,71027.5330405565,71027.5330405565,3.28003939696947,0.0789704735605239,"HSP90-alpha","Habitat",1.10558662984733
"HSP90-alpha.Residuals",34,736252.169900812,21654.475585318,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Habitat",1,0.963918494557481,0.963918494557481,1.06490552632006,0.313310794711667,"PDI","Habitat",4.38635112596334
"PDI.Residuals",22,19.9136978409209,0.905168083678222,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Habitat",1,262.554834631264,262.554834631264,0.786832828803125,0.39589181368299,"Peroxiredoxin-1","Habitat",5.54248539156186
"Peroxiredoxin-1.Residuals",10,3336.8566361249,333.68566361249,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Habitat",1,0.212203880154678,0.212203880154678,2.2620086213383,0.141815298890477,"Puromycin-sensitive","Habitat",1.98541418446668
"Puromycin-sensitive.Residuals",34,3.18961292065739,0.0938121447252173,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Habitat",1,415.703139715585,415.703139715585,0.905063676216389,0.363854774696885,"Ras-related","Habitat",5.0939668457564
"Ras-related.Residuals",10,4593.08168739495,459.308168739495,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Habitat",1,1.41634528108139,1.41634528108139,0.775751457699602,0.387964589985899,"Sodium/potassium-transporting","Habitat",5.43150425980259
"Sodium/potassium-transporting.Residuals",22,40.1669837349588,1.82577198795267,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Habitat",1,0.00177260280319444,0.00177260280319444,2.15169325283851,0.16179258034171,"Superoxide","Habitat",2.26509612478393
"Superoxide.Residuals",16,0.0131810818357572,0.000823817614734823,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Habitat",1,17.5937027649018,17.5937027649018,0.699031422056864,0.412098606956813,"Trifunctional","Habitat",5.76938049739538
"Trifunctional.Residuals",22,553.711104557976,25.1686865708171,NA,NA,"Trifunctional","Residuals",NA
